id,title,commemorating,date_of_incident,description,inscription,address,location_guide,map_grid_ref,previous_location,nature,physical_type,physical_materials,setting,access,post_unveiling,commissioned_by,artist(s),date_unveiled,comments,gps_x,gps_y
1,Dublin and Monaghan Bombings Memorial (Talbot Street),"The 33 victims of the four bombings that took place in Dublin and Monaghan on 17 May 1974.
 Person(s) commemorated",17 May 1974,The monument is a large double-sided inscribed stone slab containing a dedication and the names of 33 victims. It comprises a vertical rectangular slab of grey granite (??). The main slab is comprised of three smaller slabs.  Beside the main memorial are two stone benches made from the same type of stone.  The slab is set on a circular stone base which is flush to the ground. Inscriptions appear on both sides of the slab and are made up of a  dedication and the list of names of the 33 victims.,"Dedication and 16 names inscribed on north side of stone, and 17 names inscribed on south side.","Talbot Street, Dublin,  County Dublin, Republic of Ireland. n.a.","Located at the eastern end of Talbot Street, close to the junction with Amiens Street in the centre of Dublin. The memorial is close to Connolly railway station.",IO166349,"The memorial was installed to replace an earlier smaller memorial (Monument ID No.2) which took the form of a small inscribed granite slab.  This earlier memorial was unveiled by Michael Donnelly, then lord mayor of Dublin, in May 1991 and is currently located in Glasnevin Cemetery.",Civilian,Memorial Stone,Stone (Granite?),Street,Public Unrestricted,Ceremonies are held at the monument on each anniversary of the date of the bombings.,Dublin City Council,,26/09/1997,The monument is located in a busy area of Dublin city centre but one that is not frequented by tourists.  The monument was placed some distance from the location of the bomb in 1974 that exploded in Talbot Street.,53.35132354672245,-6.250409238665372
10,Mac Giolla Bride Memorial - (nvtd),Person(s) commemorated,,,,"West End, Bundoran,  County Donegal, Republic of Ireland. n.a.",,IG819588,,"Paramilitary, Republican, IRA","Plaque, ?",,Street ?,,,,,1995,,54.47756654346089,-8.279450788728264
100,The National Police Memorial - (nvtd),"British Police officers killed in the line of duty. ??
 Person(s) commemorated",,A book listing the names of officers killed on duty displayed in a vitrine (glass show case) within a dark stone wall. Nearby is a tall transparent wall of glass sited in a reflecting pool and gently illuminated with blue light. The two elements are linked by Purbeck stone paving.,,"Junction of The Mall and Horse Guards Road,  London,  Greater London, England.",Northeast corner of St. James's Park in London at the junction of The Mall and Horse Guards Road.,,,"British Security, British Police, RUC","Other, Book of Remembrance",,Street,,,The National Police Trust,,26 April 2005,See web site: http://www.policememorial.org.uk/Police_Memorial_Trust/NPM.htm,51.50323254676861,-0.1549310258210926
1000,Memorial Concert,Person(s) commemorated,,,,", Northern Ireland.",,,,Civilian,"Other, Memorial Concert",,"Other, n.a.",,,,,2005,Member of Miami showband.,,
1001,Cummings Memorial Cross (removed?),"Ciaran Cummings (19), a Catholic civilian, was shot dead by the Ulster Defence Association (UDA) while on his way to work in County Antrim.
 Person(s) commemorated",04 July 2001,,,"Greystone Roundabout,  Antrim,  County Antrim, Northern Ireland.",,IJ168868,,Civilian,"Other, Cross",,Road,Public Unrestricted,A wooden cross and other tributes were burned by vandals on 11 September 2001; other memorials at the roundabout were repeatedly attacked and had to be removed.,Family and Friends,,,++ REMOVED BELIEVED ++,54.715825555873316,-6.187556496413029
1002,Gregg and Carson Mural - (nvtd),"UDA members John Gregg and Rab Carson.
 Person(s) commemorated",,Large mural painted on gable wall of house.,,"Kilgreel Road, Antrim,  County Antrim, Northern Ireland. BT41 1??",,IJ158870,,"Paramilitary, Loyalist, UDA, UFF",Mural,,Street,,,UDA/UFF,,2004,,54.71812848664572,-6.203439159657772
1003,RUC Memorial ? - (nvtd),Person(s) commemorated,,,,"Castle Street, Antrim,  County Antrim, Northern Ireland. BT41 4JE??",,IJ148870,,"British Security, British Police, RUC","Other, Obelisk",,Street,,,Antrim Memorial Committee,,1998,,54.717910786518296,-6.219123707841754
1004,SEA UDA Plaque and Mural,"John Gregg and Rab Carson who were both shot dead during an internal UDA feud.
 Person(s) commemorated",01 February 2003,Mural on large garden wall featuring UDA and UFF flags plus the names of the two men; next to a large mural of King Billy on gable wall of house.  Plaque is attached to the gable wall,Names of the two men.,"West Street, Ballycarry, Carrickfergus (near),  County Antrim, Northern Ireland. BT38 9HS",At the junction of West Street and Main Street in the centre of the village of Ballycarry north of Carrickfergus.,IJ447940,,"Paramilitary, Loyalist, UDA, UFF","Plaque, and Mural","Paint, Plastic ??",Street,Public Unrestricted,,UDA/UFF,,2004,As the two deaths occurred in 2003 they are not lsited in the main part of the Sutton Index of Deaths.,54.77322416135083,-5.751704901292049
1006,UDR Memorial ? - (nvtd),Person(s) commemorated,,,,"St Patrick's Barracks, Ballymena,  County Antrim, Northern Ireland.",,ID113032,,"British Security, British Army, UDR","Plaque, ?",,Army Barracks,,,,,1995,,54.864597294131876,-6.266944052291612
1007,Tracy Doak Plaque,"RUC officer Tracy Doak.
 Person(s) commemorated",20 May 1985,Rectangular-shaped stone plaque.,,"Ballywatt Presbyterian Church, Ballywatt Leggs, Ballybogy,  County Antrim, Northern Ireland. BT52 2LT",Approximately 500m from the junction of Ballywatt Road and Ballybogy Road.,IC906358,,"British Security, British Police, RUC",Plaque,Stone marble.,"Building Interior, Church",Private Restricted (only viewable when Church is open),,Parishioners,,,++ NEED TO ARRANGE ACCESS ++ Visit made to church but it was locked at the time.,55.1607405154941,-6.579216185779055
